Tier,Genre,Ethnicity,Client_Tag,Creator_Name,TikTok_URL,HitVideos_URL,Hit_Keywords,Followers,Hit_Videos,Median_Views,Engagement_Rate,Vibe_Cluster_Hint,Region_Type
B,EXPERIENCE,AMERICA,creha,marcusandkristen,https://www.tiktok.com/@marcusandkristen,https://www.tiktok.com/@marcusandkristen/video/7569909067351641362,Tokyo Game Hunting,1347,1,27600,1.92,General,Global
B,EXPERIENCE,AMERICA,creha,joonhari_,https://www.tiktok.com/@joonhari_,https://www.tiktok.com/@joonhari_/video/7546651136158125343,Tokyo Car Meet,79,1,34500,1.92,General,Tabimae (US focus)
B,FOOD,ASIA,zstea,leslie.koh,https://www.tiktok.com/@leslie.koh,https://www.tiktok.com/@leslie.koh/video/7589674146460601618,Tokyo Hidden Gem Lunch,27500,1,3800,1.92,General,Tabinaka (JP focus)
B,LIFESTYLE,ASIA,nots,ariiriliu,https://www.tiktok.com/@ariiriliu,https://www.tiktok.com/@ariiriliu/video/7553876720458173718,#povjapan,4923,1,1400000,1.92,General,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,tiyusalontokyo,https://www.tiktok.com/@tiyusalontokyo,https://www.tiktok.com/@tiyusalontokyo/video/7552733902910049544,Tokyo Nail Salon English Speaking,4910,1,11600,1.92,General,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,driftwithsukii,https://www.tiktok.com/@driftwithsukii,https://www.tiktok.com/@driftwithsukii/video/7589998044528119058,PrivateSalonTokyo,17600,1,13300,1.91,Cinematic,Tabinaka (JP focus)
B,TRAVEL,ASIA,nots,haileyoutside,https://www.tiktok.com/@haileyoutside,https://www.tiktok.com/@haileyoutside/video/7499563835599146270,#japanitinerary,542900,1,87600,1.88,General,Tabinaka (JP focus)
B,LIFESTYLE,ASIA,wakupaku,kyriethefoodie,https://www.tiktok.com/@kyriethefoodie,https://www.tiktok.com/@kyriethefoodie/video/7606252908711120158,Japanese Traditional Desserts,181500,1,20400,1.88,General,Tabinaka (JP focus)
B,EXPERIENCE,AMERICA,creha,nxzreen21,https://www.tiktok.com/@nxzreen21,https://www.tiktok.com/@nxzreen21/video/7591822635558898964,Tokyo Drift Real Life,553,1,405500,1.85,Urban/Street,Global
B,BEAUTY,ASIA,cafune,spotajanelle,https://www.tiktok.com/@spotajanelle,https://www.tiktok.com/@spotajanelle/video/7535121425523330318,Shibuya Hidden Gems,593,1,50500,1.84,Hidden Gem,Tabinaka (JP focus)
